Index,year,county,population,firearm_count
2008-Greene,2008,Greene,49358,6
2008-Hamilton,2008,Hamilton,5036,0
2008-Herkimer,2008,Herkimer,62313,7
2008-Jefferson,2008,Jefferson,117896,28
2008-Kings,2008,Kings,2549604,0
2008-Lewis,2008,Lewis,26403,5
2008-Livingston,2008,Livingston,63029,6
2008-Madison,2008,Madison,69859,7
2008-Monroe,2008,Monroe,728695,882
2008-Montgomery,2008,Montgomery,48560,5
2008-Nassau,2008,Nassau,1354833,407
2008-New York,2008,New York,1634686,0
2008-Niagara,2008,Niagara,214193,107
2008-Oneida,2008,Oneida,231868,152
2008-Onondaga,2008,Onondaga,453316,309
2008-Ontario,2008,Ontario,104379,11
2008-Orange,2008,Orange,381554,123
2008-Orleans,2008,Orleans,42138,9
2008-Oswego,2008,Oswego,121286,29
2008-Otsego,2008,Otsego,62469,10
2008-Putnam,2008,Putnam,99894,4
2008-Queens,2008,Queens,2289695,0
2008-Rensselaer,2008,Rensselaer,155621,89
2008-Richmond,2008,Richmond,485719,0
2008-Rockland,2008,Rockland,298129,36
2008-Saratoga,2008,Saratoga,217656,9
2008-Schenectady,2008,Schenectady,151325,174
2008-Schoharie,2008,Schoharie,32113,1
2008-Schuyler,2008,Schuyler,18989,1
2008-Seneca,2008,Seneca,34332,5
2008-Steuben,2008,Steuben,96608,1
2008-St Lawrence,2008,St Lawrence,109530,6
2008-Suffolk,2008,Suffolk,1522727,568
2008-Sullivan,2008,Sullivan,76571,11
2008-Tioga,2008,Tioga,50281,4
2008-Tompkins,2008,Tompkins,101591,20
2008-Ulster,2008,Ulster,182305,33
2008-Warren,2008,Warren,66478,4
2008-Washington,2008,Washington,62944,6
2008-Wayne,2008,Wayne,90960,8
2008-Westchester,2008,Westchester,954255,319
2008-Wyoming,2008,Wyoming,41742,9
2008-Yates,2008,Yates,24542,1
2007-Albany,2007,Albany,297154,208
2007-Allegany,2007,Allegany,50178,6
2007-Bronx,2007,Bronx,1364553,0
2007-Broome,2007,Broome,195161,33
2007-Cattaraugus,2007,Cattaraugus,79103,25
2007-Cayuga,2007,Cayuga,80918,16
2007-Chautauqua,2007,Chautauqua,134387,38
2007-Chemung,2007,Chemung,88057,28
2007-Chenango,2007,Chenango,51696,4
2007-Clinton,2007,Clinton,82260,4
2007-Columbia,2007,Columbia,62763,17
2007-Cortland,2007,Cortland,48336,14
2007-Delaware,2007,Delaware,45894,8
2007-Dutchess,2007,Dutchess,296416,167
2007-Erie,2007,Erie,914914,1231
2007-Essex,2007,Essex,37259,2
2007-Franklin,2007,Franklin,50805,13
2007-Fulton,2007,Fulton,55242,14
2007-Genesee,2007,Genesee,58342,6
2007-Greene,2007,Greene,49912,5
2007-Hamilton,2007,Hamilton,5117,0
2007-Herkimer,2007,Herkimer,63007,8
2007-Jefferson,2007,Jefferson,114354,17
2007-Kings,2007,Kings,2515380,0
2007-Lewis,2007,Lewis,26568,2
2007-Livingston,2007,Livingston,63964,7
2007-Madison,2007,Madison,70109,4
2007-Monroe,2007,Monroe,728081,962
2007-Montgomery,2007,Montgomery,48895,4
2007-Nassau,2007,Nassau,1320440,398
2007-New York,2007,New York,1611158,0
2007-Niagara,2007,Niagara,215039,104
2007-Oneida,2007,Oneida,233118,126
2007-Onondaga,2007,Onondaga,455272,380
2007-Ontario,2007,Ontario,104638,8
2007-Orange,2007,Orange,380352,118
2007-Orleans,2007,Orleans,42956,8
2007-Oswego,2007,Oswego,122810,18
2007-Otsego,2007,Otsego,62542,6
2007-Putnam,2007,Putnam,100963,1
2007-Queens,2007,Queens,2252334,0
2007-Rensselaer,2007,Rensselaer,155251,84
2007-Richmond,2007,Richmond,476771,0
2007-Rockland,2007,Rockland,295219,35
2007-Saratoga,2007,Saratoga,216944,5
2007-Schenectady,2007,Schenectady,150599,133
2007-Schoharie,2007,Schoharie,32193,1
2007-Schuyler,2007,Schuyler,19382,1
2007-Seneca,2007,Seneca,34827,2
2007-Steuben,2007,Steuben,97881,4
2007-St Lawrence,2007,St Lawrence,110894,9
2007-Suffolk,2007,Suffolk,1472242,549
2007-Sullivan,2007,Sullivan,76742,19
2007-Tioga,2007,Tioga,51076,5
2007-Tompkins,2007,Tompkins,100687,8
2007-Ulster,2007,Ulster,182932,38
2007-Warren,2007,Warren,66304,8
2007-Washington,2007,Washington,63536,10
2007-Wayne,2007,Wayne,92504,10
2007-Westchester,2007,Westchester,950091,303
2007-Wyoming,2007,Wyoming,42384,2
2007-Yates,2007,Yates,24679,0
2006-Albany,2006,Albany,298210,200
2006-Allegany,2006,Allegany,50737,6
2006-Bronx,2006,Bronx,1363555,0
2006-Broome,2006,Broome,197474,39
2006-Cattaraugus,2006,Cattaraugus,80814,17
2006-Cayuga,2006,Cayuga,81672,18
2006-Chautauqua,2006,Chautauqua,136774,36
2006-Chemung,2006,Chemung,89752,25
2006-Chenango,2006,Chenango,51894,3
2006-Clinton,2006,Clinton,82267,7
2006-Columbia,2006,Columbia,63792,9
2006-Cortland,2006,Cortland,48752,4
2006-Delaware,2006,Delaware,46826,3
2006-Dutchess,2006,Dutchess,295638,168
2006-Erie,2006,Erie,933195,1450
2006-Essex,2006,Essex,37515,2
2006-Franklin,2006,Franklin,51170,9
2006-Fulton,2006,Fulton,55675,13
2006-Genesee,2006,Genesee,59301,4
2006-Greene,2006,Greene,49815,5
2006-Hamilton,2006,Hamilton,5242,0
2006-Herkimer,2006,Herkimer,63951,5
2006-Jefferson,2006,Jefferson,116696,25
2006-Kings,2006,Kings,2490325,0
2006-Lewis,2006,Lewis,26642,1
2006-Livingston,2006,Livingston,64377,10
2006-Madison,2006,Madison,70525,7
2006-Monroe,2006,Monroe,735330,1365
2006-Montgomery,2006,Montgomery,49099,4
2006-Nassau,2006,Nassau,1336706,468
2006-New York,2006,New York,1600341,0
2006-Niagara,2006,Niagara,217589,175
2006-Oneida,2006,Oneida,234732,107
2006-Onondaga,2006,Onondaga,459279,392
2006-Ontario,2006,Ontario,104741,9
2006-Orange,2006,Orange,373891,96
2006-Orleans,2006,Orleans,43503,3
2006-Oswego,2006,Oswego,123703,15
2006-Otsego,2006,Otsego,62914,11
2006-Putnam,2006,Putnam,100776,11
2006-Queens,2006,Queens,2245375,0
2006-Rensselaer,2006,Rensselaer,155667,109
2006-Richmond,2006,Richmond,465405,0
2006-Rockland,2006,Rockland,293700,32
2006-Saratoga,2006,Saratoga,215434,10
2006-Schenectady,2006,Schenectady,149477,157
2006-Schoharie,2006,Schoharie,32363,2
2006-Schuyler,2006,Schuyler,19394,1
2006-Seneca,2006,Seneca,34948,1
2006-Steuben,2006,Steuben,98896,10
2006-St Lawrence,2006,St Lawrence,111678,8
2006-Suffolk,2006,Suffolk,1478876,619
2006-Sullivan,2006,Sullivan,76744,26
2006-Tioga,2006,Tioga,51613,3
2006-Tompkins,2006,Tompkins,100286,10
2006-Ulster,2006,Ulster,183182,24
2006-Warren,2006,Warren,65724,2
2006-Washington,2006,Washington,63193,6
2006-Wayne,2006,Wayne,92018,9
2006-Westchester,2006,Westchester,943326,406
2006-Wyoming,2006,Wyoming,42807,6
2006-Yates,2006,Yates,24822,1
2005-Albany,2005,Albany,298859,260
2005-Allegany,2005,Allegany,50647,4
2005-Bronx,2005,Bronx,1355320,0
2005-Broome,2005,Broome,197979,31
2005-Cattaraugus,2005,Cattaraugus,83298,22
2005-Cayuga,2005,Cayuga,82033,5
2005-Chautauqua,2005,Chautauqua,137464,33
2005-Chemung,2005,Chemung,90113,19
2005-Chenango,2005,Chenango,51935,2
2005-Clinton,2005,Clinton,81992,7
2005-Columbia,2005,Columbia,63759,7
2005-Cortland,2005,Cortland,49076,3
2005-Delaware,2005,Delaware,47396,12
2005-Dutchess,2005,Dutchess,293815,99
2005-Erie,2005,Erie,937659,1353
2005-Essex,2005,Essex,38957,4
2005-Franklin,2005,Franklin,51082,8
2005-Fulton,2005,Fulton,55542,11
2005-Genesee,2005,Genesee,59775,7
2005-Greene,2005,Greene,49265,2
2005-Hamilton,2005,Hamilton,5234,1
2005-Herkimer,2005,Herkimer,63949,9
2005-Jefferson,2005,Jefferson,111627,19
2005-Kings,2005,Kings,2475286,0
2005-Lewis,2005,Lewis,26602,0
2005-Livingston,2005,Livingston,64912,3
2005-Madison,2005,Madison,70508,10
2005-Monroe,2005,Monroe,736230,1046
2005-Montgomery,2005,Montgomery,49354,4
2005-Nassau,2005,Nassau,1341560,487
2005-New York,2005,New York,1590675,0
2005-Niagara,2005,Niagara,218372,208
2005-Oneida,2005,Oneida,235299,53
2005-Onondaga,2005,Onondaga,460464,395
2005-Ontario,2005,Ontario,103652,17
2005-Orange,2005,Orange,370883,145
2005-Orleans,2005,Orleans,44201,3
2005-Oswego,2005,Oswego,123953,8
2005-Otsego,2005,Otsego,62608,10
2005-Putnam,2005,Putnam,100714,5
2005-Queens,2005,Queens,2231815,0
2005-Rensselaer,2005,Rensselaer,154298,61
2005-Richmond,2005,Richmond,462594,0
2005-Rockland,2005,Rockland,294047,45
2005-Saratoga,2005,Saratoga,213011,13
2005-Schenectady,2005,Schenectady,148254,154
2005-Schoharie,2005,Schoharie,32058,5
2005-Schuyler,2005,Schuyler,19533,2
2005-Seneca,2005,Seneca,35125,0
2005-Steuben,2005,Steuben,98956,3
2005-St Lawrence,2005,St Lawrence,111465,6
2005-Suffolk,2005,Suffolk,1477602,680
2005-Sullivan,2005,Sullivan,76219,22
2005-Tioga,2005,Tioga,51609,2
2005-Tompkins,2005,Tompkins,100278,23
2005-Ulster,2005,Ulster,182039,35
2005-Warren,2005,Warren,65240,7
2005-Washington,2005,Washington,62897,6
2005-Wayne,2005,Wayne,93995,7
2005-Westchester,2005,Westchester,943794,376
2005-Wyoming,2005,Wyoming,43048,1
2005-Yates,2005,Yates,24704,0
2004-Albany,2004,Albany,298419,194
2004-Allegany,2004,Allegany,50659,4
2004-Bronx,2004,Bronx,1369123,0
2004-Broome,2004,Broome,199744,28
2004-Cattaraugus,2004,Cattaraugus,83515,16
2004-Cayuga,2004,Cayuga,81883,10
2004-Chautauqua,2004,Chautauqua,137910,32
2004-Chemung,2004,Chemung,90587,27
2004-Chenango,2004,Chenango,51759,2
2004-Clinton,2004,Clinton,81523,4
2004-Columbia,2004,Columbia,63527,4
2004-Cortland,2004,Cortland,48785,6
2004-Delaware,2004,Delaware,47317,4
2004-Dutchess,2004,Dutchess,291445,92
2004-Erie,2004,Erie,943107,1068
2004-Essex,2004,Essex,39067,4
2004-Franklin,2004,Franklin,51154,2
2004-Fulton,2004,Fulton,55312,13
2004-Genesee,2004,Genesee,60136,10
2004-Greene,2004,Greene,48959,6
2004-Hamilton,2004,Hamilton,5288,0
2004-Herkimer,2004,Herkimer,63827,10
2004-Jefferson,2004,Jefferson,114872,13
2004-Kings,2004,Kings,2479004,0
2004-Lewis,2004,Lewis,26687,0
2004-Livingston,2004,Livingston,64783,10
2004-Madison,2004,Madison,70317,4
2004-Monroe,2004,Monroe,738157,942
2004-Montgomery,2004,Montgomery,49466,5
2004-Nassau,2004,Nassau,1342044,415
2004-New York,2004,New York,1563556,0
2004-Niagara,2004,Niagara,218570,135
2004-Oneida,2004,Oneida,234825,63
2004-Onondaga,2004,Onondaga,461404,295
2004-Ontario,2004,Ontario,102642,13
2004-Orange,2004,Orange,363853,92
2004-Orleans,2004,Orleans,43713,1
2004-Oswego,2004,Oswego,123733,9
2004-Otsego,2004,Otsego,62316,9
2004-Putnam,2004,Putnam,99742,4
2004-Queens,2004,Queens,2227863,0
2004-Rensselaer,2004,Rensselaer,154304,52
2004-Richmond,2004,Richmond,461775,0
2004-Rockland,2004,Rockland,293553,63
2004-Saratoga,2004,Saratoga,210222,11
2004-Schenectady,2004,Schenectady,147573,125
2004-Schoharie,2004,Schoharie,31746,0
2004-Schuyler,2004,Schuyler,19492,6
2004-Seneca,2004,Seneca,35251,0
2004-Steuben,2004,Steuben,99203,10
2004-St Lawrence,2004,St Lawrence,111870,6
2004-Suffolk,2004,Suffolk,1470865,512
2004-Sullivan,2004,Sullivan,75092,17
2004-Tioga,2004,Tioga,51846,1
2004-Tompkins,2004,Tompkins,101606,5
2004-Ulster,2004,Ulster,181460,24
2004-Warren,2004,Warren,64840,7
2004-Washington,2004,Washington,61991,2
2004-Wayne,2004,Wayne,93909,8
2004-Westchester,2004,Westchester,942114,326
2004-Wyoming,2004,Wyoming,43015,3
2004-Yates,2004,Yates,24768,2
2003-Albany,2003,Albany,296677,183
2003-Allegany,2003,Allegany,50266,3
2003-Bronx,2003,Bronx,1352377,0
2003-Broome,2003,Broome,200665,36
2003-Cattaraugus,2003,Cattaraugus,83411,19
2003-Cayuga,2003,Cayuga,81701,17
2003-Chautauqua,2003,Chautauqua,138567,52
2003-Chemung,2003,Chemung,90768,31
2003-Chenango,2003,Chenango,51411,0
2003-Clinton,2003,Clinton,81207,5
2003-Columbia,2003,Columbia,63640,4
2003-Cortland,2003,Cortland,48897,6
2003-Delaware,2003,Delaware,47382,9
2003-Dutchess,2003,Dutchess,288241,94
2003-Erie,2003,Erie,946656,1184
2003-Essex,2003,Essex,39001,0
2003-Franklin,2003,Franklin,51051,4
2003-Fulton,2003,Fulton,55143,12
2003-Genesee,2003,Genesee,59901,17
2003-Greene,2003,Greene,48621,5
2003-Hamilton,2003,Hamilton,5304,0
2003-Herkimer,2003,Herkimer,63849,6
2003-Jefferson,2003,Jefferson,108344,15
2003-Kings,2003,Kings,2494204,0
2003-Lewis,2003,Lewis,26718,0
2003-Livingston,2003,Livingston,64934,8
2003-Madison,2003,Madison,69908,6
2003-Monroe,2003,Monroe,739678,1119
2003-Montgomery,2003,Montgomery,49471,1
2003-Nassau,2003,Nassau,1347179,470
2003-New York,2003,New York,1546731,0
2003-Niagara,2003,Niagara,218470,122
2003-Oneida,2003,Oneida,235366,117
2003-Onondaga,2003,Onondaga,461560,311
2003-Ontario,2003,Ontario,101740,10
2003-Orange,2003,Orange,357380,76
2003-Orleans,2003,Orleans,43966,5
2003-Oswego,2003,Oswego,123141,10
2003-Otsego,2003,Otsego,62176,10
2003-Putnam,2003,Putnam,98424,6
2003-Queens,2003,Queens,2243164,0
2003-Rensselaer,2003,Rensselaer,153560,60
2003-Richmond,2003,Richmond,461590,0
2003-Rockland,2003,Rockland,292331,58
2003-Saratoga,2003,Saratoga,207487,13
2003-Schenectady,2003,Schenectady,147370,115
2003-Schoharie,2003,Schoharie,31909,3
2003-Schuyler,2003,Schuyler,19408,5
2003-Seneca,2003,Seneca,35035,0
2003-Steuben,2003,Steuben,99482,7
2003-St Lawrence,2003,St Lawrence,111362,8
2003-Suffolk,2003,Suffolk,1461136,618
2003-Sullivan,2003,Sullivan,74399,17
2003-Tioga,2003,Tioga,51860,4
2003-Tompkins,2003,Tompkins,99376,10
2003-Ulster,2003,Ulster,180292,42
2003-Warren,2003,Warren,64015,16
2003-Washington,2003,Washington,61299,7
2003-Wayne,2003,Wayne,94238,17
2003-Westchester,2003,Westchester,938873,409
2003-Wyoming,2003,Wyoming,43238,2
2003-Yates,2003,Yates,24565,0
2002-Albany,2002,Albany,297376,224
2002-Allegany,2002,Allegany,50404,8
2002-Bronx,2002,Bronx,1325890,0
2002-Broome,2002,Broome,202449,46
2002-Cattaraugus,2002,Cattaraugus,84756,13
2002-Cayuga,2002,Cayuga,82745,6
2002-Chautauqua,2002,Chautauqua,141084,23
2002-Chemung,2002,Chemung,91939,39
2002-Chenango,2002,Chenango,51891,11
2002-Clinton,2002,Clinton,80656,6
2002-Columbia,2002,Columbia,63696,18
2002-Cortland,2002,Cortland,49062,4
2002-Delaware,2002,Delaware,48513,7
2002-Dutchess,2002,Dutchess,282823,116
2002-Erie,2002,Erie,959333,1101
2002-Essex,2002,Essex,39222,6
2002-Franklin,2002,Franklin,51622,5
2002-Fulton,2002,Fulton,55598,4
2002-Genesee,2002,Genesee,60946,4
2002-Greene,2002,Greene,48655,3
2002-Hamilton,2002,Hamilton,5431,0
2002-Herkimer,2002,Herkimer,65041,9
2002-Jefferson,2002,Jefferson,112804,13
2002-Kings,2002,Kings,2538594,0
2002-Lewis,2002,Lewis,27201,0
2002-Livingston,2002,Livingston,64942,1
2002-Madison,2002,Madison,70104,6
2002-Monroe,2002,Monroe,742360,908
2002-Montgomery,2002,Montgomery,50183,6
2002-Nassau,2002,Nassau,1347279,429
2002-New York,2002,New York,1641192,0
2002-Niagara,2002,Niagara,221944,110
2002-Oneida,2002,Oneida,237716,97
2002-Onondaga,2002,Onondaga,462710,312
2002-Ontario,2002,Ontario,101181,18
2002-Orange,2002,Orange,344624,145
2002-Orleans,2002,Orleans,44592,5
2002-Oswego,2002,Oswego,123545,17
2002-Otsego,2002,Otsego,62265,14
2002-Putnam,2002,Putnam,96658,3
2002-Queens,2002,Queens,2158613,0
2002-Rensselaer,2002,Rensselaer,153993,84
2002-Richmond,2002,Richmond,420404,0
2002-Rockland,2002,Rockland,289489,58
2002-Saratoga,2002,Saratoga,202550,28
2002-Schenectady,2002,Schenectady,147953,104
2002-Schoharie,2002,Schoharie,31884,3
2002-Schuyler,2002,Schuyler,19407,7
2002-Seneca,2002,Seneca,33661,0
2002-Steuben,2002,Steuben,99668,6
2002-St Lawrence,2002,St Lawrence,112999,8
2002-Suffolk,2002,Suffolk,1432913,600
2002-Sullivan,2002,Sullivan,74672,30
2002-Tioga,2002,Tioga,52278,3
2002-Tompkins,2002,Tompkins,97422,5
2002-Ulster,2002,Ulster,179445,26
2002-Warren,2002,Warren,63907,16
2002-Washington,2002,Washington,61624,0
2002-Wayne,2002,Wayne,94660,12
2002-Westchester,2002,Westchester,932270,379
2002-Wyoming,2002,Wyoming,43838,2
2002-Yates,2002,Yates,24856,1
2001-Albany,2001,Albany,295107,252
2001-Allegany,2001,Allegany,50019,3
2001-Bronx,2001,Bronx,1315775,2057
2001-Broome,2001,Broome,200905,47
2001-Cattaraugus,2001,Cattaraugus,84109,7
2001-Cayuga,2001,Cayuga,82114,6
2001-Chautauqua,2001,Chautauqua,140007,23
2001-Chemung,2001,Chemung,91238,28
2001-Chenango,2001,Chenango,51496,5
2001-Clinton,2001,Clinton,80041,2
2001-Columbia,2001,Columbia,63210,14
2001-Cortland,2001,Cortland,48688,3
2001-Delaware,2001,Delaware,48143,15
2001-Dutchess,2001,Dutchess,280666,72
2001-Erie,2001,Erie,952014,1032
2001-Essex,2001,Essex,38922,3
2001-Franklin,2001,Franklin,51228,1
2001-Fulton,2001,Fulton,55174,6
2001-Genesee,2001,Genesee,60481,6
2001-Greene,2001,Greene,48284,8
2001-Hamilton,2001,Hamilton,5389,0
2001-Herkimer,2001,Herkimer,64546,2
2001-Jefferson,2001,Jefferson,111944,16
2001-Kings,2001,Kings,2519228,4091
2001-Lewis,2001,Lewis,26994,0
2001-Livingston,2001,Livingston,64446,6
2001-Madison,2001,Madison,69569,4
2001-Monroe,2001,Monroe,736696,816
2001-Montgomery,2001,Montgomery,49799,7
2001-Nassau,2001,Nassau,1337000,463
2001-New York,2001,New York,1628673,1606
2001-Niagara,2001,Niagara,220251,119
2001-Oneida,2001,Oneida,235902,90
2001-Onondaga,2001,Onondaga,459179,272
2001-Ontario,2001,Ontario,100408,8
2001-Orange,2001,Orange,341995,111
2001-Orleans,2001,Orleans,44252,5
2001-Oswego,2001,Oswego,122602,10
2001-Otsego,2001,Otsego,61789,25
2001-Putnam,2001,Putnam,95921,7
2001-Queens,2001,Queens,2142146,1870
2001-Rensselaer,2001,Rensselaer,152819,59
2001-Richmond,2001,Richmond,417196,141
2001-Rockland,2001,Rockland,287281,56
2001-Saratoga,2001,Saratoga,201004,32
2001-Schenectady,2001,Schenectady,146825,111
2001-Schoharie,2001,Schoharie,31640,8
2001-Schuyler,2001,Schuyler,19259,5
2001-Seneca,2001,Seneca,33403,4
2001-Steuben,2001,Steuben,98908,6
2001-St. Lawrence,2001,St. Lawrence,112137,6
2001-Suffolk,2001,Suffolk,1421981,662
2001-Sullivan,2001,Sullivan,74102,16
2001-Tioga,2001,Tioga,51879,2
2001-Tompkins,2001,Tompkins,96679,10
2001-Ulster,2001,Ulster,178076,14
2001-Warren,2001,Warren,63419,7
2001-Washington,2001,Washington,61154,4
2001-Wayne,2001,Wayne,93938,13
2001-Westchester,2001,Westchester,925158,381
2001-Wyoming,2001,Wyoming,43504,4
2001-Yates,2001,Yates,24666,0
2000-Albany,2000,Albany,304521,153
2000-Allegany,2000,Allegany,52720,4
2000-Bronx,2000,Bronx,1270428,2282
2000-Broome,2000,Broome,203614,45
2000-Cattaraugus,2000,Cattaraugus,88097,21
2000-Cayuga,2000,Cayuga,85205,4
2000-Chautauqua,2000,Chautauqua,143321,18
2000-Chemung,2000,Chemung,95670,24
2000-Chenango,2000,Chenango,52877,3
2000-Clinton,2000,Clinton,83139,2
2000-Columbia,2000,Columbia,65702,10
2000-Cortland,2000,Cortland,50063,1
2000-Delaware,2000,Delaware,48349,3
2000-Dutchess,2000,Dutchess,279733,77
2000-Erie,2000,Erie,965641,1074
2000-Essex,2000,Essex,39114,1
2000-Franklin,2000,Franklin,50590,2
2000-Fulton,2000,Fulton,55116,20
2000-Genesee,2000,Genesee,63061,9
2000-Greene,2000,Greene,50420,3
2000-Hamilton,2000,Hamilton,5412,0
2000-Herkimer,2000,Herkimer,66069,5
2000-Jefferson,2000,Jefferson,114631,11
2000-Kings,2000,Kings,2432404,5042
2000-Lewis,2000,Lewis,28459,1
2000-Livingston,2000,Livingston,68673,7
2000-Madison,2000,Madison,74175,5
2000-Monroe,2000,Monroe,742951,735
2000-Montgomery,2000,Montgomery,52528,4
2000-Nassau,2000,Nassau,1360988,375
2000-New York,2000,New York,1572542,1787
2000-Niagara,2000,Niagara,225428,79
2000-Oneida,2000,Oneida,239559,118
2000-Onondaga,2000,Onondaga,475767,318
2000-Ontario,2000,Ontario,104068,18
2000-Orange,2000,Orange,348522,99
2000-Orleans,2000,Orleans,46952,1
2000-Oswego,2000,Oswego,129184,4
2000-Otsego,2000,Otsego,63217,5
2000-Putnam,2000,Putnam,98909,1
2000-Queens,2000,Queens,2068318,2053
2000-Rensselaer,2000,Rensselaer,157936,50
2000-Richmond,2000,Richmond,402819,242
2000-Rockland,2000,Rockland,296194,59
2000-Saratoga,2000,Saratoga,208293,15
2000-Schenectady,2000,Schenectady,150037,109
2000-Schoharie,2000,Schoharie,33424,1
2000-Schuyler,2000,Schuyler,20053,5
2000-Seneca,2000,Seneca,33293,2
2000-Steuben,2000,Steuben,101886,6
2000-St. Lawrence,2000,St. Lawrence,117690,10
2000-Suffolk,2000,Suffolk,1443155,473
2000-Sullivan,2000,Sullivan,72302,17
2000-Tioga,2000,Tioga,54454,3
2000-Tompkins,2000,Tompkins,101841,6
2000-Ulster,2000,Ulster,174463,22
2000-Warren,2000,Warren,64074,10
2000-Washington,2000,Washington,62718,6
2000-Wayne,2000,Wayne,99615,13
2000-Westchester,2000,Westchester,944382,430
2000-Wyoming,2000,Wyoming,46083,5
2000-Yates,2000,Yates,25608,1
1999-Albany,1999,Albany,292929,113
1999-Allegany,1999,Allegany,51057,11
1999-Bronx,1999,Bronx,1218399,2301
1999-Broome,1999,Broome,196775,34
1999-Cattaraugus,1999,Cattaraugus,85186,6
1999-Cayuga,1999,Cayuga,81359,3
1999-Chautauqua,1999,Chautauqua,138265,32
1999-Chemung,1999,Chemung,92129,28
1999-Chenango,1999,Chenango,51112,3
1999-Clinton,1999,Clinton,80064,0
1999-Columbia,1999,Columbia,63295,18
1999-Cortland,1999,Cortland,48089,2
1999-Delaware,1999,Delaware,46140,7
1999-Dutchess,1999,Dutchess,265628,93
1999-Erie,1999,Erie,935566,852
1999-Essex,1999,Essex,37592,0
1999-Franklin,1999,Franklin,48639,2
1999-Fulton,1999,Fulton,52976,5
1999-Genesee,1999,Genesee,60725,5
1999-Greene,1999,Greene,47863,3
1999-Hamilton,1999,Hamilton,5199,1
1999-Herkimer,1999,Herkimer,64124,12
1999-Jefferson,1999,Jefferson,111180,10
1999-Kings,1999,Kings,2332789,5134
1999-Lewis,1999,Lewis,27526,1
1999-Livingston,1999,Livingston,66077,8
1999-Madison,1999,Madison,71152,1
1999-Monroe,1999,Monroe,716911,647
1999-Montgomery,1999,Montgomery,50814,7
1999-Nassau,1999,Nassau,1303746,570
1999-New York,1999,New York,1508140,2078
1999-Niagara,1999,Niagara,218326,115
1999-Oneida,1999,Oneida,230898,87
1999-Onondaga,1999,Onondaga,458838,251
1999-Ontario,1999,Ontario,99779,4
1999-Orange,1999,Orange,329606,104
1999-Orleans,1999,Orleans,44570,2
1999-Oswego,1999,Oswego,124151,3
1999-Otsego,1999,Otsego,60859,4
1999-Putnam,1999,Putnam,93467,11
1999-Queens,1999,Queens,1983613,2341
